Age,Gender ,"How many hours per day do you study on average?  (Include self-study, assignments, and revision. Enter a decimal if needed, e.g., 2.5)",What is your approximate class attendance percentage this semester? ,What is your CGPA? * ,What was your last semester's SGPA? (Enter your most recent semester GPA),"How many hours per day do you spend on social media? (Include Instagram, TikTok, Twitter/X, YouTube Shorts, etc.)",How many hours of sleep do you get per night on average? ,How would you describe your diet quality? ,"How many days per week do you exercise or do physical activity?  (Include gym, sports, walking, cricket, football, etc.)","Which societies or clubs are you a member of at GIKI? (Write N/A if none. Examples: GIKI ACM, IEEE, GIKI Literary Society, Sports Board, GIKI Debate Club)"
20,Male,1.5,70,3.11,3.33,3.0,6.0,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,"
IEEE"
20,Male,2.0,50,3.1,3.27,11.0,7.0,Average (Mix of healthy and unhealthy),3-4 days,Science
20,Male,1.5,60,3.02,3.03,5.0,9.0,Average (Mix of healthy and unhealthy),1-2 days,"LES, AIAA, IEEE"
19,Male,0.67,10,3.2,3.27,12.0,3.0,Very Poor (Highly reliant on junk food and caffeine),0 days,"ACM,IEEE,TECHNO,LES"
20,Male,3.0,50,2.45,2.3,6.0,5.0,"Good (Mostly balanced, some fast food/unhealthy snacks)",5-6 days,
20,Male,0.5,80,3.0,3.01,8.0,7.0,"Good (Mostly balanced, some fast food/unhealthy snacks)",5-6 days,AIFS
21,Female,2.0,70,2.53,2.6,7.0,7.0,Average (Mix of healthy and unhealthy),1-2 days,"SOPHEP,  Project Topi "
25,Male,0.0,80,2.02,2.02,2.0,5.0,"Good (Mostly balanced, some fast food/unhealthy snacks)",7 days,"IEEE, NETRONIX, AIAA, AIESEC and NEXUS"
21,Male,1.0,80,3.06,3.4,4.5,7.0,Average (Mix of healthy and unhealthy),3-4 days,Project Topi and UROG
21,Male,2.0,30,2.5,2.58,4.0,6.0,Average (Mix of healthy and unhealthy),3-4 days,Naqsh
20,Male,0.5,70,2.93,3.26,5.0,7.0,Average (Mix of healthy and unhealthy),1-2 days,
20,Male,3.5,90,2.96,3,3.5,6.0,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,"IEEE,PT,GMS"
21,Male,0.0,70,3.0,I no remember,6.5,4.0,Very Poor (Highly reliant on junk food and caffeine),1-2 days,"AIESEC IN GIKI, GIKI SOPHEP, GIKI LES"
22,Male,2.0,90,2.85,2.93,4.0,6.0,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,SOPHEP
21,Male,2.0,60,2.8,3.25,3.0,5.0,"Poor (Mostly processed foods, soft drinks, limited vegetables)",0 days,
20,Female,0.0,70,3.17,3.17,5.5,5.0,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,"LDS, Sophep"
20,Male,2.5,80,2.0,2,3.0,3.0,Very Poor (Highly reliant on junk food and caffeine),0 days,Sophep
21,Male,0.5,80,2.83,2.8,2.0,7.0,Average (Mix of healthy and unhealthy),1-2 days,
12,Prefer not to say,0.12,10,3.1,3.1,12.0,10.0,Average (Mix of healthy and unhealthy),3-4 days,"SOPHEP, MEDIACLUB, AEISEC"
20,Male,1.5,80,2.8,3,4.0,5.0,Average (Mix of healthy and unhealthy),1-2 days,Sophep
19,Male,3.0,90,3.2,3.26,2.5,6.0,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,
20,Male,1.0,100,3.4,3.5,4.0,8.0,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,GIKI ACM
20,Male,0.5,60,2.8,3.1,3.5,7.0,Average (Mix of healthy and unhealthy),1-2 days,GIKI AIAA
20,Male,4.0,100,3.8,3.67,1.0,7.0,"Excellent (Well-balanced, fresh food)",1-2 days,Team Infinity
22,Female,0.0,70,4.0,4,7.0,8.0,Average (Mix of healthy and unhealthy),3-4 days,sophep
20,Male,1.0,80,3.49,3.59,5.2,9.0,"Good (Mostly balanced, some fast food/unhealthy snacks)",5-6 days,SOPHEP
21,Male,1.0,80,2.93,3.39,2.5,7.0,"Good (Mostly balanced, some fast food/unhealthy snacks)",7 days,
20,Male,2.5,60,3.4,3.71,3.5,8.0,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,
20,Male,2.0,80,3.18,3.2,3.0,7.0,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,ACM
20,Male,2.5,70,3.0,4,6.0,10.0,Average (Mix of healthy and unhealthy),3-4 days,
21,Male,0.0,70,3.0,🤫,2.5,4.0,"Poor (Mostly processed foods, soft drinks, limited vegetables)",5-6 days,"IEEE
AIAA
TEAM HH"
22,Male,2.0,90,3.56,3.6,5.0,3.0,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,2
19,Female,3.0,90,3.96,3.96,3.0,8.0,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,"Aiesec, LES, gcg"
20,Female,2.5,90,4.0,4,2.5,6.0,Average (Mix of healthy and unhealthy),7 days,"LES, GCG, AIESEC"
19,Female,2.0,50,2.65,2.78,4.0,8.0,Average (Mix of healthy and unhealthy),1-2 days,"Sophep, IET"
21,Female,3.5,90,3.4,3.4,2.5,6.0,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,
21,Male,1.0,90,3.1,2.9,9.0,4.0,Average (Mix of healthy and unhealthy),1-2 days,SOPHEP
19,Male,1.5,60,2.7,2.7,8.0,7.0,Average (Mix of healthy and unhealthy),1-2 days,IEEE
21,Female,1.0,80,3.3,3.2,4.0,6.0,Average (Mix of healthy and unhealthy),0 days,
21,Male,1.0,80,3.3,3.1,3.5,7.0,Average (Mix of healthy and unhealthy),5-6 days,"Science
Sophep"
29,Male,0.0,90,2.0,3.1,2.0,5.0,"Excellent (Well-balanced, fresh food)",3-4 days,Scienxe ka naam hi nhi hai examples meh
22,Male,0.0,100,3.4,3.56,8.0,6.0,"Excellent (Well-balanced, fresh food)",0 days,AIESEC AND LES
20,Male,3.0,70,2.44,2.38,4.0,7.0,"Poor (Mostly processed foods, soft drinks, limited vegetables)",5-6 days,"AIESEC, SOPHEP"
21,Male,8.5,90,3.14,2.8,8.0,5.0,Very Poor (Highly reliant on junk food and caffeine),0 days,"IEEE, LES, AIFS"
21,Male,1.25,30,3.6,3.48,2.0,5.0,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,Team SWIFT
21,Male,2.0,70,3.1,3.23,7.0,7.0,"Good (Mostly balanced, some fast food/unhealthy snacks)",5-6 days,2
19,Male,3.0,30,3.0,3,6.0,5.0,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,"Aiesec,sophep,media"
23,Female,3.0,70,3.4,3.2,2.0,6.0,Average (Mix of healthy and unhealthy),1-2 days,
21,Male,2.0,70,3.19,3.48,3.0,6.0,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,IEEE
19,Male,1.0,60,3.73,3.73,4.0,10.0,"Good (Mostly balanced, some fast food/unhealthy snacks)",5-6 days,
21,Male,4.0,90,3.3,3.2,3.0,7.0,Average (Mix of healthy and unhealthy),3-4 days,
19,Male,1.0,20,3.2,3.44,4.0,6.0,Average (Mix of healthy and unhealthy),1-2 days,ACM
19,Male,3.5,70,3.57,3.57,1.0,8.0,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,"Giki Science Society, GAC, Nexus"
21,Male,7.0,90,3.08,3.1,0.6,7.4,Average (Mix of healthy and unhealthy),1-2 days,
20,Prefer not to say,3.6,87,2.68,2.82,13.7,6.6,"Good (Mostly balanced, some fast food/unhealthy snacks)",7 days,
20,Male,7.1,57,2.97,2.96,10.8,5.6,"Poor (Mostly processed foods, soft drinks, limited vegetables)",3-4 days,
20,Male,1.2,31,2.59,2.56,1.9,7.0,"Good (Mostly balanced, some fast food/unhealthy snacks)",5-6 days,
18,Female,2.0,50,2.65,2.68,6.3,7.4,Average (Mix of healthy and unhealthy),1-2 days,IEEE
20,Male,1.4,39,2.29,2.25,5.0,3.0,Average (Mix of healthy and unhealthy),7 days,IEEE
20,Female,4.3,55,3.23,3.22,0.5,6.4,Average (Mix of healthy and unhealthy),1-2 days,
23,Male,3.7,66,3.11,3.14,1.4,6.4,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,
19,Female,3.1,67,2.91,2.94,2.6,8.5,Average (Mix of healthy and unhealthy),1-2 days,LES
19,Male,0.9,28,2.64,2.63,5.8,6.3,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,
19,Male,6.7,52,3.24,3.36,3.3,5.9,"Good (Mostly balanced, some fast food/unhealthy snacks)",7 days,
21,Male,3.0,20,2.65,2.71,1.8,8.3,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,"IEEE, ACM"
21,Male,0.5,77,2.34,2.31,7.3,3.5,"Good (Mostly balanced, some fast food/unhealthy snacks)",5-6 days,LES
18,Male,1.3,22,2.95,2.91,1.6,8.4,"Excellent (Well-balanced, fresh food)",0 days,AIAA
20,Male,4.7,100,3.1,2.88,9.5,9.0,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,LES
22,Prefer not to say,1.9,79,3.04,3.05,3.5,7.3,"Good (Mostly balanced, some fast food/unhealthy snacks)",0 days,
20,Male,2.1,53,2.63,2.7,1.7,7.4,Average (Mix of healthy and unhealthy),3-4 days,
19,Male,2.1,100,2.94,2.88,0.6,5.9,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,LES
22,Male,0.5,58,2.29,2.35,6.5,4.5,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,
19,Male,0.5,44,2.42,2.37,8.6,8.1,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,
20,Male,3.0,38,2.66,2.69,6.0,6.0,Very Poor (Highly reliant on junk food and caffeine),1-2 days,
19,Female,1.0,71,2.92,2.97,2.5,4.8,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,LES
20,Female,1.2,51,2.56,2.54,1.5,5.6,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,
19,Male,1.8,27,2.66,2.67,1.3,9.2,Average (Mix of healthy and unhealthy),1-2 days,LES
19,Male,5.7,96,3.2,3.07,3.6,7.6,Very Poor (Highly reliant on junk food and caffeine),3-4 days,
22,Male,6.4,66,3.32,3.35,0.7,4.1,"Poor (Mostly processed foods, soft drinks, limited vegetables)",7 days,ACM
20,Male,0.5,73,2.83,2.84,3.1,8.6,"Poor (Mostly processed foods, soft drinks, limited vegetables)",7 days,
19,Male,4.9,67,3.13,3.18,2.9,6.0,Average (Mix of healthy and unhealthy),5-6 days,
22,Male,2.7,15,2.64,2.8,0.5,7.0,"Good (Mostly balanced, some fast food/unhealthy snacks)",5-6 days,AIAA
22,Prefer not to say,0.5,43,2.49,2.46,1.5,6.7,Average (Mix of healthy and unhealthy),3-4 days,IEEE
20,Male,0.5,48,2.81,2.89,0.5,6.1,Average (Mix of healthy and unhealthy),1-2 days,ACM
21,Male,0.8,44,2.58,2.51,3.2,7.7,Average (Mix of healthy and unhealthy),0 days,"IEEE, ACM"
19,Male,2.5,97,2.39,2.34,14.0,6.4,"Excellent (Well-balanced, fresh food)",3-4 days,"IEEE, ACM"
21,Male,3.8,82,3.32,3.37,0.9,4.9,"Excellent (Well-balanced, fresh food)",3-4 days,
19,Male,2.0,75,2.67,2.65,4.7,5.9,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,ACM
